code,nom,marque,programme_marketing,genre,technique,niveau_source,niveau,usage_cible,style_classique_cible,distance_competition_cible,tailles_dispo,size_136,size_143,size_153,size_163,size_168,size_173,size_174,size_178,size_180,size_181,size_183,size_186,size_187,size_188,size_190,size_192,size_193,size_197,size_202,size_207,glisse_max,accroche_classique,maniabilite,stabilite,tolerance,rigidite,nervosite,renvoi_dynamique,sensation_facile,sensation_dynamique,sensation_rigide,sensation_stable_haute_vitesse,sensation_polyvalent,neige_froide,neige_polyvalente,neige_humide,plaisir,confort,progression_technique,performance_chrono,podium_competition,notes
RIO1040,X-9 CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1050,X-9 SC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1060,X-11 SKATE FW,Rossignol,A01 - RACE,Femmes,Skating,,Compétiteur,Course,,,"370,380,390,400,410,420,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1070,X-9 SKATE FW,Rossignol,A01 - RACE,Femmes,Skating,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1080,X-9 CLASSIC FW,Rossignol,A01 - RACE,Femmes,Classique,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO1120,XP 5,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW010,X-7 SKATE,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW020,X-7 CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW030,X-7 SC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW040,XT 5,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOW110,XT 5 FW,Rossignol,A02 - ALL MOUNTAIN,Femmes,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0010,X-IUM CARBON PREMIUM+ SK BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0020,X-IUM CARBON PREMIUM+ CL BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0030,X-IUM WCS SKATE BOA MV,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0040,X-IUM WCS CLASSIC BOA MV,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0050,X-IUM WCS SKATE BOA LV,Rossignol,A01 - RACE,Femmes,Skating,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0060,X-IUM WCS CLASSIC BOA LV,Rossignol,A01 - RACE,Femmes,Classique,,Compétiteur,Course,,,"370,380,390,400,410,420,430,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP0070,X-IUM CARBON PREMIUM+ SC BOA,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIP3010,XP 12,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,"360,370,380,390,400,410,420,430,440,450,460,470,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW010,XT 3,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW020,XT 2,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW030,XT 1,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW040,X-TOUR ULTRA,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Confirmé,Performance,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW050,XR,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW070,XT 2 FW,Rossignol,A04 - WOMEN,Femmes,Classique,,Intermédiaire,Plaisir,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW100,XT 2,Rossignol,A02 - ALL MOUNTAIN,U,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPW110,XT 1,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
